chr start end H3K4me1_EpiLC_rep1 H3K4me1_EpiSC_rep1 H3K4me1_EpiLC_rep2 H3K4me1_EpiSC_rep2 H3K4me1_EpiLC_rep3 H3K4me1_EpiSC_rep3 mCpG_EpiLC mCpG_EpiSC
chr12 76883278 76887894 2.291 1.11585 1.9925 0.88095 2.0995 0.5379 85.535 93.395
chr11 88897219 88898640 7.7875 5.8295 4.9615 3.295 4.0845 2.619 23.705 76.68
chr4 133612715 133615715 3.006 4.579 1.8215 2.7705 1.67 0.879 81.55 87.99
chr4 53490372 53492636 5.496 4.173 6.202 2.846 3.893 2.2835 75.265 70.21
chr18 33799163 33799303 5.862 2.9735 3.8985 2.2045 2.025 1.382 55.92 96.27
chr7 107551888 107554572 8.24 6.5805 6.8475 2.9695 5.67 2.65 54.755 92.805
chr9 99130682 99133141 5.6745 7.1675 4.529 8.667 4.34 3.447 56.535 92.115
chr7 3183743 3185448 5.0755 2.5985 4.4755 1.966 3.4015 1.03205 38.895 73.375
chr10 95115599 95117927 4.1715 4.4725 3.774 1.04965 3.499 1.255 78.97 93.51
chr17 35887892 35888821 5.198 1.438 4.637 0.6566 3.0505 0.74515 66.235 85.375
chr14 52045091 52049315 2.5945 2.6985 1.995 1.7285 1.704 1.1186 67.555 80.34
chr8 105229144 105239206 1.09875 1.81755 1.4738 2.9565 1.4727 1.13695 68.645 95.835
chr13 6641371 6644381 1.745 2.8535 1.6895 2.154 1.354 1.17645 68.95 94.03
chr17 28894725 28896555 2.704 1.01005 1.941 0.96975 2.327 1.1765 63.62 93.74
chr16 37788715 37791606 4.135 3.8665 3.4325 3.4745 2.9335 1.8675 87.125 92.87
chr8 13985095 13990228 5.6585 3.606 4.721 3.275 5.599 2.3335 76.755 70.53
chr2 25377427 25382516 6.061 7.1715 4.077 2.3625 4.335 2.093 65.44 76.185
chr15 99864316 99867394 5.747 2.6535 3.2945 2.883 4.0505 1.7665 50.915 91.74
chr9 73048856 73074505 0.83185 1.708 1.048 0.98325 1.2599 0.9882 85.66 89.165
chr10 95111888 95113973 2.4295 2.2845 1.9885 0.93015 1.7355 1.5875 76.975 91.32
chr7 80220522 80222331 4.5755 2.368 4.747 1.2545 3.885 0.7224 85.295 95.325
chr11 113733274 113735794 2 10.673 2.3591 6.9585 2.828 2.3955 76.505 77.02
chr15 99856770 99858149 5.5595 2.15 4.5625 1.2065 3.0445 1.0103 78.31 74.1
chr5 110796508 110806053 1.3335 1.8985 1.7371 0.75735 1.697 0.4942 92.66 98.34
chr16 14017762 14022953 1.1555 0.5802 2.269 1.01495 2.26 0.61665 78.04 95.755
chr5 75593969 75606111 2.453 2.6615 2.187 2.3985 3.1385 1.2595 83.405 82.255
chr4 152082312 152082857 2.12305 1.75035 1.959 0.7081 1.555 0.97525 61.595 88.63
chr14 51062892 51064771 1.84495 1.5685 2.6375 1.21965 1.11185 1.16245 17.0581 10.25125
chr4 151976518 151977972 2.862 1.3247 2.516 0.9498 2.215 0.78715 73.975 91.41
chr16 16365937 16368885 5.2175 2.286 4.9615 2.81 2.493 2.1815 37.67 92.14
chr2 135558569 135561104 5.3195 4.136 4.219 2.81 2.5765 1.6565 64.895 88.09
chr16 38442663 38447739 1.998 1.732 1.845 2.146 1.7235 1.4565 73.74 82.065
chr9 95521163 95523600 3.7435 2.7965 3.948 1.5945 2.637 0.9238 66.355 87.45
chr1 13103448 13114743 0.52035 0.97355 0.665 1.468 1.1673 1.321 84.38 91.84
chr16 48314476 48315677 1.547 1.4835 1.216 1.34875 1.71145 1.01805 73.92 92.525
chr6 120539436 120540444 7.647 5.2865 4.8165 3.5345 4.3715 1.767 45.78 40.681
chr16 84778385 84780912 1.509 1.697 1.729 0.49825 2.4395 0.81955 84.625 90.14
chr2 33478081 33478492 1.517 3.0665 1.6775 0.42515 1.1915 1.076 82.745 90.335
chr4 129549420 129551441 7.624 6.82 3.307 3.089 3.4245 2.0595 62.67 80.075
chr7 43165781 43168503 4.658 1.0209 3.768 2.7105 3.8115 1.7715 76.14 69.76
chr14 70413684 70415656 4.85 4.276 4.2415 0.65105 3.9815 1.06245 80.865 93.29
chr8 107413596 107415968 2.334 2.0635 2.159 1.0499 1.7685 1.0917 85.05 96.15
chr9 53787975 53791597 1.626 1.842 1.7625 3.3945 1.0816 1.453 86.695 93.535
chr11 88841276 88845879 1.962 0.9955 2.3485 0.768 2.5435 0.88775 91.625 88.51
chr10 68236218 68241035 2.1045 4.124 2.729 2.425 1.8535 1.0295 66.07 75.005
chr9 72995510 72997102 4.7665 1.873 3.115 2.066 2.7625 1.06795 80.835 84.585
chr10 63346477 63349852 5.428 8.3115 3.9395 2.6705 2.8315 2.431 57.04 85.685
chr4 135530425 135534022 4.9695 4.87 4.7365 4.6345 2.844 3.6965 61.945 77.695
chr7 107534653 107537606 6.8135 3.9895 4.529 6.249 3.01 1.9875 70.485 74.71
chr2 59522443 59524589 9.1235 4.0045 5.1075 2.171 4.795 1.1666 71.23 85.495
chr18 82558507 82565760 4.3265 3.1865 2.6265 1.0122 2.308 1.5305 77.195 91.125
chr16 13803886 13807987 1.0111 0.50715 1.257 0.93015 1.11 0.99645 94.705 95.2
chr7 27273867 27276872 5.613 4.599 3.7035 1.9795 3.222 1.652 70.615 90.69
chr8 43320326 43322424 3.928 0.9879 3.8525 1.435 3.3625 0.63845 51.06 85.58
chr4 11370185 11371473 4.795 0.87595 3.289 0.9686 2.864 0.8836 85.1 85.97
chr2 163072871 163077344 1.2082 2.117 1.125 1.28335 0.96145 1.0875 86.505 93.255
chr4 56845493 56860948 2.1 2.0125 1.7675 1.5345 1.345 1.3165 82.765 91.335
chr1 75123959 75125795 4.2455 3.638 3.815 2.329 2.224 2.045 13.54 13.073
chr4 98844764 98848996 3.7635 4.4385 2.3125 2.0595 4.2595 1.391 69.945 89.525
chr15 81709002 81709795 1.28785 1.0721 1.0099 0.29235 1.04515 0.57285 81.145 96.61
chr7 107752287 107753370 2.6065 1.19835 2.908 1.431 1.925 0.98575 68.865 86.13
chr18 37900430 37902416 2.08105 3.075 2.182 1.545 1.40155 0.957 88.695 95.885
chr10 88547154 88547514 7.7995 3.628 4.5545 2.3355 4.411 1.17185 73.195 96.445
chr1 13052292 13052611 2.4485 1.2945 2.223 0.66565 1.5565 1.294 66.47 66.955
chr15 8829939 8835341 2.6945 5.591 2.9055 4.597 2.207 3.092 76.675 14.0055
chr9 103087612 103089720 0.91975 1.4809 1.167 1.204 1.296 0.9542 74.625 96.92
chr14 105192743 105196233 4.209 8.2915 3.0155 4.23 2.139 1.9155 64.04 89.865
chr8 60870819 60871573 2.6175 5.114 1.5815 2.418 2.298 1.3185 86.615 95.365
chr9 73124494 73128449 0.7991 1.03285 0.5212 0.7175 0.7462 1.01035 92.345 98.8
chr4 85288037 85290473 1.9815 1.4951 1.8035 1.9335 1.5382 1.0847 76.665 96.395
chr10 44324678 44326800 2.5455 3.035 1.79 1.986 2.254 1.0392 83.07 90.68
chr6 40348601 40352180 2.2855 2.073 1.6954 1.5745 2.1025 1.04495 76.425 88.49
chr16 14031143 14032061 0.8818 1.959 1.348 1.993 1.283 1.19655 78.41 91.08
chr9 73106509 73106605 0.94195 0.7019 0.4553 0.6484 1.1559 0.99885 64.695 80.985
chr2 164866774 164868000 2.0895 3.0505 1.4975 1.2955 1.8515 1.7345 62.775 85.21
chr6 120920853 120924092 0.6309 0.60535 0.6602 0.9367 0.6532 0.59915 81.565 83.315
chr3 10380071 10383183 1.0333 1.9 1.854 1.5279 1.1737 1.2375 93.52 90.97
chr15 55196426 55210076 0.78915 1.2198 0.3235 0.8023 0.9122 0.9866 93.65 97.725
chr16 21833882 21837301 1.6865 1.7245 1.5515 1.4885 1.8275 1.3207 79.27 89.935
chr10 63271590 63271741 3.345 3.5195 2.492 1.342 2.273 0.7828 70.045 87.475
chr17 57046957 57047369 5.5615 4.702 3.5285 2.272 2.769 1.8965 68.05 78.625
chr10 68179021 68181734 2.42 4.309 3.448 2.5735 2.616 1.5095 76.845 92.09
chr11 115716404 115717848 1.51095 1.9945 1.1202 1.00185 1.4725 1.04245 81.645 86.47
chr6 122616090 122616833 1.04185 0.98155 0.80155 0.5713 0.8534 0.9217 83.88 92.45
chr10 20226401 20229341 2.559 0.8317 2.3485 0.76265 2.5805 0.88775 90.82 95.53
chr14 99263646 99280637 0.6829 0.7292 0.8351 1.0681 0.78475 1.09 78.985 89.345
chr1 86180365 86183413 1.6962 2.609 1.7855 1.9865 2.578 1.736 78.305 89.37
chr8 107447635 107450885 2.8945 2.544 1.8275 2.1325 3.9885 1.2465 83.93 97.36
chr6 91101741 91105561 2.365 1.441 2.527 1.0975 1.8125 0.60435 59.29 92.22
chr5 146393605 146395118 1.482 0.33675 1.56705 0.53675 1.39905 0.96925 86.81 90.545
chr16 35948025 35953318 1.1959 0.74855 1.6795 0.4039 2.134 1.0017 85.93 97.355
chr10 44498927 44543088 2.5955 2.13635 2.4935 3.977 3.165 1.861 72.03 70.215
chr16 13949452 13953007 1.17025 1.2865 1.736 0.77065 1.25255 0.71455 93.26 99.165
chr1 191943603 191949066 1.6975 3.892 1.693 2.4365 2.2185 1.46495 86.14 94.865
chr2 29139785 29144265 0.60395 0.708 1.0544 0.43845 0.99725 0.75215 84.955 93.97
chr9 99102876 99107072 1.3169 1.0166 1.2125 1.3621 1.3055 0.6166 78.815 95.915
chr7 25203679 25210674 1.0869 1.421 1.0303 0.7706 1.3256 0.93675 83.825 90.725
chr3 30658074 30659293 2.0875 1.1345 2.7055 0.8078 1.9095 0.8301 80.48 95.29
chr15 55223246 55225701 2.10905 4.392 1.5 1.9135 1.38905 1.779 91.285 92.575
chr1 179568375 179570465 1.5705 3.473 1.27 3.6005 1.1864 1.4735 81.59 94.71
chr9 121285437 121286510 3.275 1.3805 3.241 1.5705 2.0965 1.21145 36.855 95.26
chr7 116324622 116327410 1.254 0.5761 0.8205 0.7095 0.9313 0.6691 77.79 41.5
chr6 40330838 40335805 3.7175 1.8175 2.553 1.933 1.454 1.07575 82.005 95.115
chr16 48296499 48299077 1.1195 1.22855 1.264 1.8335 1.468 1.0778 86.395 90.78
chr2 172513444 172532330 2.0275 0.84145 1.7945 0.5713 2.292 0.59475 73.925 89.315
chr14 51897655 51903448 0.6174 0.738 0.54035 0.9433 1.04665 0.73205 54.975 71.58
chr5 110814186 110815807 0.86225 1.1665 0.9524 0.857 0.83485 0.7828 79.515 81.84
chr14 20232390 20234663 1.721 0.5234 1.9725 0.65105 1.327 1.0678 77.105 97.905
chr4 126448935 126451844 1.9185 1.5055 1.421 1.14115 2.0245 1.145 82.05 88.18
chr1 10876384 10880670 2.481 8.355 1.735 4.334 1.7675 2.922 82.44 44.455
chrX 153280873 153285698 1.0291 1.26175 1.3178 0.57795 1.3565 0.6997 87.845 91.3
chr8 107517656 107521456 0.94965 3.4835 1.336 2.1005 1.439 0.97505 82.65 93.59
chr16 16566318 16567847 1.1965 2.341 1.2005 2.9735 1.5285 1.403 90.97 82.09
chr9 31008621 31021440 0.67375 0.75045 0.7728 1.1029 1.0049 0.62095 83.68 100
chr1 136972229 136974514 0.70575 0.77005 1.21625 0.77725 0.704 0.92195 76.055 94.915
chr12 84026963 84031395 1.664 3.3065 1.251 1.9275 1.01445 2.043 83.08 49.67
chr4 98863392 98865143 2.8325 1.5375 1.5825 0.6444 2.332 0.98585 82.975 97.97
chr1 137003491 137004103 0.7652 0.59765 1.1455 0.4344575 1.049 1.1545 81.68 89.46
chr8 45009752 45010822 0.5854 0.57085 0.5871 0.7467 0.9877 0.9973 86.255 93.5
chr1 52937397 52937828 0.41815 0.8114 0.6039 1.2025 1.10295 1.3215 88.245 98.035
chr5 110845371 110848940 0.1115 0.166355 0.1258 0.1063 0.8737 0.46355 81.61 82.445
chr16 16847769 16848926 0.38425 0.57615 0.67695 0.80385 0.8774 0.7565 73.485 100
chr18 82484542 82526669 0.518 0.78515 0.5152 0.3521 0.6841 0.8615 90.925 94.155
chr6 146719177 146720994 1.445 1.5985 1.096 1.02315 1.1675 1.0843 84.645 70.53
