chr	start	end	enhancer	ATAC_ESC	ATAC_EpiLC	ATAC_EpiSC	H3K4me1_ESC	H3K4me1_EpiLC	H3K4me1_EpiSC	H3K4me2_ESC	H3K4me2_EpiLC	H3K4me2_EpiSC	H3K4me3_ESC	H3K4me3_EpiLC	H3K4me3_EpiSC	H3K9me2_ESC	H3K9me2_EpiLC	H3K9me2_EpiSC	H3K9me3_ESC	H3K9me3_EpiLC	H3K9me3_EpiSC	H3K27me2_ESC	H3K27me2_EpiLC	H3K27me2_EpiSC	H3K27me3_ESC	H3K27me3_EpiLC	H3K27me3_EpiSC	mCpG_ESC	mCpG_EpiLC	mCpG_EpiSC	H3K27ac_ESC	H3K27ac_EpiLC	H3K27ac_EpiSC
chr1	134092662	134094008	EpiSC_enhancer	12.0385	14.2905	29.5085	6.5355	8.575	10.99	15.595	24.025	25.345	10.6105	16.67	18.13	0.3795	0.80495	0.8879	0.50305	0.3336	0.57355	1.8815	1.996	1.87	10.6225	2.9415	0.88405	2.871	50.78	52.21	2.041	9.5015	15.935
chr1	135368382	135369351	EpiSC_enhancer	19.542	19.432	23.0905	7.824	8.792	8.209	15.76	21.685	26.35	10.629	15.5	22.13	0.26215	0.35985	0.76685	0.37905	0.5431	0.64625	2.2175	1.605	1.3475	1.76035	3.253	1.0092	1.598	32.58	26.755	8.504	11.34	13.44
chr1	155085498	155087753	EpiSC_enhancer	7.1285	20.371	20.338	11.34	12.925	13.345	7.521	22.325	23.975	2.6415	6.6605	8.603	0.3913	0.26835	0.825	0.35365	0.3529	0.6193	1.6995	0.5406	1.522	3.706	0.64095	1.1455	1.06145	16.7	11.1115	3.519	37.05	23.06
chr1	165171370	165175373	EpiSC_enhancer	2.116	3.35185	9.4735	1.846	3.022	7.674	3.5965	3.5515	13.23	3.204	1.628	4.068	0.42475	0.2912	0.46005	10.193	7.716	2.7175	0.43075	0.222	0.49965	0.43965	0.3854	1.678	40.585	81.61	51.15	9.744	12.815	20.75
chr1	172216736	172217337	EpiSC_enhancer	8.363	10.575	9.868	4.57	7.8045	7.965	6.0775	9.435	7.4155	3.005	3.5955	1.9155	0.71425	0.8829	1.607	0.4114	0.34465	0.78695	1.838	0.7152	1.1062	0.4694	0.41685	0.40075	2.0875	33.285	61.46	4.0175	12.375	8.388
chr1	183368857	183369614	EpiSC_enhancer	20.375	20.8425	24.6955	3.194	2.899	3.0165	22.08	23.295	23.93	40.455	56.86	63.085	0.6176	0.3869	0.7838	1.2625	0.7666	0.3231	1.561	1.2923	1.4335	8.293	2.0765	1.3663	1.777	11.7325	10.6885	2.8805	11.354	12.345
chr1	189760523	189762662	EpiSC_enhancer	11.7645	15.648	24.6955	7.517	15.015	16.955	4.0855	10.6965	17.3	1.2775	2.2235	3.8155	0.6704	0.5371	0.4667	0.8353	0.47805	0.622	2.203	1.108	1.6605	2.8915	0.39715	1.01235	23.945	60.745	50.21	1.996	13.43	16.935
chr2	15924992	15926921	EpiSC_enhancer	6.7285	10.1255	13.29	5.686	6.276	6.231	3.9395	8.2665	11.0825	1.2035	1.7585	0.93165	0.5398	0.2001	0.54485	5.6925	5.928	3.482	0.1762	0.06717	0.5221	0.257	0.34605	0.5893	35.505	30.78	26.475	10.0505	30.005	23.285
chr2	16810316	16812991	EpiSC_enhancer	23.7025	19.831	13.69	7.2795	6.2455	6.5665	7.5495	6.2305	8.006	3.241	2.301	1.4545	0.43	0.2725	0.69775	1.42345	5.3095	4.3225	0.32105	0.166335	0.58105	0.20625	0.291	0.51415	1.0657	22.005	78.855	24.66	48.115	24.035
chr2	25162751	25164129	EpiSC_enhancer	9.339	13.407	11.1205	6.9715	17.855	14.895	7.8515	16.785	17.14	3.1275	4.7365	5.407	0.93335	1.843	1.9565	0.23655	0.6479	1.11195	2.6365	2.4055	2.5425	3.977	1.9855	0.9208	13.51	51.6	51.56	2.436	20.67	16.705
chr2	34248900	34249692	EpiSC_enhancer	14.2949	14.2149	16.2745	4.3135	7.177	5.8215	11.9875	17.124	22.2005	11.9685	14.2465	17.228	0.2263	0.13728	0.45375	0.1096	0.3281	0.4362	1.4705	0.37745	0.40235	0.7203	0.25955	0.64455	9.815	41.5895	49.5415	5.296	16.4495	14.3045
chr2	54157719	54159701	EpiSC_enhancer	4.3035	5.3615	10.5965	3.704	3.0245	6.6905	1.848	1.52565	6.971	0.66585	1.27965	1.2455	0.90775	0.26625	0.6895	2.7945	6.581	2.7465	0.53925	0.26865	0.6076	0.104815	0.291	0.60775	8.1245	53.335	45.685	2.4885	11.21	14.145
chr2	55404712	55405779	EpiSC_enhancer	2.02525	0.82095	2.48845	2.827	1.9255	5.798	2.4115	0.85195	7.9875	1.4805	0.49625	3.7785	0.4597	0.364	0.51665	7.7755	5.9475	5.06245	0.2414	0.035185	0.32155	0.145415	0.23595	0.31305	66.985	83.985	79.415	8.319	7.2255	14.41
chr2	55602567	55603562	EpiSC_enhancer	0.550365	3.373	4.3825	0.36045	4.132	6.886	0.16692	3.1535	6.4315	0.2243	0.4614	0.93175	1.181	0.5346	1.12875	0.51105	2.1455	0.81315	0.77375	0.5086	0.36225	0.24755	0.34215	0.36535	13.52	86.25	92.265	0.190955	8.485	9.5745
chr2	92666331	92671826	EpiSC_enhancer	2.798	3.7425	19.5005	1.4565	2.226	10.24	1.526	1.5835	12.085	1.139	1.07265	2.971	0.51905	0.35985	0.7488	15.09	11.33	3.799	0.5066	0.4862	0.76395	0.7	0.39165	0.8155	42.265	64.65	22.507	2.839	10.1195	33.245
chr2	92805515	92807614	EpiSC_enhancer	5.73145	12.025	8.1305	6.4495	17.06	11.6795	3.9765	13.345	9.117	1.407	2.9535	1.9555	0.9699	0.2808	0.7798	2.228	0.933	5.5885	1.1632	1.0385	1.15565	1.273	0.641	0.89725	12.8275	36.52	58.745	3.676	26.19	14.52
chr2	93176104	93178073	EpiSC_enhancer	9.381	15.462	25.35	8.697	14.45	11.6	11.495	21.005	26.615	5.148	7.024	8.96	0.4724	0.6773	0.7437	0.40995	0.3005	0.49815	1.445	1.707	1.836	3.798	1.8595	0.83375	8.4055	34.62	25.8915	2.008	20.765	21.745
chr2	104088718	104092112	EpiSC_enhancer	2.755	3.1815	11.097	1.22535	1.547	7.1265	1.6337	1.433	8.1815	1.879	1.1885	2.808	0.4054	0.28915	0.49695	13.815	10.2605	4.5535	0.47345	0.12795	0.3894	0.53095	0.4168	0.4052	31.2	86.455	15.21	5.3035	7.693	22.695
chr2	104109661	104110615	EpiSC_enhancer	6.855	3.7155	4.0185	5.153	3.4535	7.2655	4.464	2.113	4.626	2.6445	0.36565	1.46605	0.7416	1.4365	1.208	0.5952	1.02835	1.5535	1.07845	1.635	0.9733	0.61075	0.7377	0.5672	25.415	89.715	92.155	4.622	2.5565	12.95
chr2	125703768	125706315	EpiSC_enhancer	12.6045	14.6665	15.1195	8.546	13.45	13.92	6.935	10.6695	13.28	2.495	1.679	3.1605	0.7265	0.706	0.7861	0.35115	0.92875	1.286	2.641	0.30325	0.73705	0.80155	0.6331	0.121565	16.421	52.28	57.14	7.4525	27.245	26.755
chr2	148085216	148085848	EpiSC_enhancer	1.85535	1.20065	2.1441	1.1963	1.08355	7.265	0.96005	0.69735	2.9705	0.368	0.26115	0.96845	0.7449	0.8362	0.96395	0.32625	0.4384	1.1074	0.9577	1.3445	1.5158	1.4755	1.7145	0.6976	27.92	78.69	75.31	0.176455	0.7798	11.281
chr2	148099086	148101243	EpiSC_enhancer	1.34135	3.801	3.56415	0.3648	5.9885	8.8165	0.14307	2.899	7.2315	0.3154	0.4388	1.4485	1.229	1.537	1.5335	0.38905	0.7532	0.86055	1.43	1.3275	2.23175	1.0069	1.4155	1.0473	19.99	86.11	72.13	0.38185	3.7685	16.81
chr2	152706893	152708777	EpiSC_enhancer	20.163	15.983	22.7255	13.105	9.4915	8.9545	26.105	22.82	24.055	16.535	13.24	16.45	0.13675	0.62195	0.76215	0.34615	0.4439	0.64085	0.652	0.62375	0.7227	0.2976	0.81005	0.32415	0.3185	34.55	27.155	45.72	26.82	23.95
chr2	155050096	155052376	EpiSC_enhancer	18.647	15.0385	19.527	5.8335	8.292	5.5155	26.815	27.49	34.165	27.965	26.485	34.68	0.2989	0.19428	0.5736	0.2715	0.3	0.22885	0.4471	0.32885	0.4714	0.42885	0.259555	0.3381	0.1663	11.911	24.2145	32.03	33.525	26.275
chr2	156904283	156907203	EpiSC_enhancer	3.8472	7.696	12.3835	1.423	8.0915	9.939	0.98975	7.2935	13.4905	0.5108	1.8515	3.7145	0.53415	0.4901	0.39165	0.66395	1.2529	2.207	1.695	1.206	0.9503	0.9977	0.93495	0.2652	26.6755	83.03	21.927	0.96785	15.575	30.505
chr2	156939701	156940390	EpiSC_enhancer	1.34615	1.9067	5.372	0.8927	2.537	7.6335	0.40245	1.21515	3.908	0.6834	0.282965	0.93175	0.4526	0.7114	0.831	0.3736	0.386	0.52775	1.3045	0.62695	0.6135	0.43965	0.814	0.36095	38.885	92.375	65.55	0.70445	3.649	7.414
chr2	179521160	179522837	EpiSC_enhancer	9.592	16.0665	11.3615	10.617	19.515	14.95	6.684	14.85	11.815	2.413	3.9805	2.4365	0.7213	0.28	0.9163	0.50805	0.7345	1.965	2.759	0.8692	1.2925	3.0105	0.64645	1.17145	0.4444	22.0705	66.61	4.4465	37.91	17.395
chr2	179526514	179527573	EpiSC_enhancer	4.555	10.126	7.9295	5.5675	13.845	11.2865	3.2525	9.704	8.263	1.2054	2.145	1.9505	0.909	0.81085	0.9748	0.4423	2.1265	3.059	1.8415	0.7376	0.91635	3.151	0.4491	0.5694	10.3755	61.76	76.63	2.0015	18.605	14.16
chr2	179569247	179573055	EpiSC_enhancer	13.7515	17.171	18.1055	14.24	21.36	17.94	13.85	12.1	15.645	5.618	2.22	3.1085	0.413	0.70475	0.78965	0.4209	0.89815	1.884	1.33095	0.6301	1.0995	0.7442	0.2595	1.2925	1.9555	34.145	50.475	16.835	45.23	28.1
chr3	5987422	5990909	EpiSC_enhancer	19.449	18.3085	15.9895	7.4035	7.7745	5.7755	5.4075	5.3255	5.096	1.503	1.563	1.07085	0.3795	0.18304	0.7936	1.3149	2.3105	2.8865	0.5831	0.2047	0.32155	0.2908	0.46405	0.2505	4.9085	63.81	77.995	16.435	49.17	30.13
chr3	8866448	8867129	EpiSC_enhancer	7.582	4.673	10.233	5.4635	5.9715	6.7035	3.0035	3.5715	7.7585	1.03045	0.62685	1.01165	0.578	0.9733	0.74445	0.41345	0.77365	0.78625	0.65715	0.6577	0.63595	0.2198	0.2517	0.320465	28.36	80.44	57.525	1.8365	2.918	9.046
chr3	9519120	9521502	EpiSC_enhancer	21.8545	18.5895	21.0925	14.41	12.12	9.591	17.89	17.375	18.515	7.856	4.17	4.6165	0.2447	0.33695	0.64705	0.2441	0.67385	1.047	0.89025	0.53415	0.64485	0.29085	0.88385	0.48615	0.662	41.245	33.635	19.22	19.585	20.71
chr3	55587700	55588592	EpiSC_enhancer	4.6215	8.1475	12.404	4.4635	11.0175	11.7795	4.984	10.8555	14.32	1.9715	2.943	3.7925	0.6421	0.39685	0.4844	0.9961	1.16295	0.8924	1.427	0.6972	1.0526	0.6256	0.54265	0.81105	16.055	40.465	45.15	1.3065	16.93	11.91
chr3	87981955	87983477	EpiSC_enhancer	5.806	12.1435	26.715	5.2335	19.34	22.395	2.8235	15.41	20.955	1.25285	4.419	4.063	0.28285	0.82145	0.7009	0.30835	0.3336	0.56275	0.75795	1.919	1.2505	8.9745	6.284	1.2465	10.409	60.82	38.925	0.65445	6.4045	14.265
chr3	89195770	89196671	EpiSC_enhancer	10.259	15.16	17.797	4.0455	12.1555	10.2485	5.002	18.08	16.385	2.0585	6.7385	5.8075	0.2593	0.280815	0.77195	0.38355	0.2206	0.49815	2.477	0.83805	0.97065	2.3235	1.14455	0.5267	14.8925	48.985	52.13	1.3695	15.905	9.2005
chr3	95950401	95951953	EpiSC_enhancer	20.3995	14.0135	18.4	4.79	4.514	1.8115	20.815	23.38	24.775	24.67	19.295	34.58	0.4337	0.63945	0.869	0.4448	0.83555	1.4365	0.88415	0.7677	0.7593	0.39905	0.641	0.6446	1.9727	30.705	46.955	25.595	28.18	27.495
chr3	95984930	95986391	EpiSC_enhancer	14.627	17.341	24.32	8.8215	9.309	5.035	15.4395	28.025	35.41	7.3345	19.3465	35.21	0.3842	0.5242	0.5932	0.58775	1.0008	1.3086	2.474	1.983	1.1916	5.428	4.125	1.52135	6.327	31.885	23.385	4.273	17.84	21.72
chr3	97297018	97299310	EpiSC_enhancer	11.3965	14.698	19.08	5.611	8.9735	5.739	18.4575	27.625	32.67	12.5875	24.804	49.815	0.66945	0.2725	0.49305	0.87865	0.6005	0.6791	1.496	0.6423	0.95455	2.56	1.3495	0.61215	9.09	39.945	6.12	4.137	22.855	30.35
chr3	135767845	135771863	EpiSC_enhancer	3.8435	2.60275	8.6975	1.42025	2.08505	9.144	3.04875	3.1205	14.54	3.1275	1.4869	5.94	0.78425	0.178905	0.58185	13.525	11.485	3.6235	0.42075	0.211135	0.66355	0.36185	0.5977	1.1792	63.89	42.195	27.785	11.5305	14.3025	28.015
chr3	135767845	135771863	EpiSC_enhancer	3.8435	2.60275	8.6975	1.42025	2.08505	9.144	3.04875	3.1205	14.54	3.1275	1.4869	5.94	0.78425	0.178905	0.58185	13.525	11.485	3.6235	0.42075	0.211135	0.66355	0.36185	0.5977	1.1792	63.89	42.195	27.785	11.5305	14.3025	28.015
chr3	145652677	145653841	EpiSC_enhancer	7.197	12.2645	24.204	7.263	10.242	7.977	11.336	29.11	42.855	8.4905	22.04	43.385	0.65015	0.3349	0.64155	2.504	1.5515	0.7507	1.4485	1.533	1.4095	14.525	11.429	8.7145	6.1875	17.025	5.824	1.2905	10.2075	13.94
chr3	145683906	145686612	EpiSC_enhancer	1.9	7.7315	16.6585	0.85115	6.8905	11.38	0.8107	6.67	11.707	0.42055	1.5932	2.951	1.10125	0.82235	0.87435	2.202	1.5025	1.2315	1.601	1.33055	1.453	2.011	1.40215	0.8411	42.245	72.91	67.785	0.237	6.195	17.2
chr3	149218179	149222043	EpiSC_enhancer	24.2395	18.4445	15.72	9.228	12.303	11.76	6.852	12.085	9.9875	2.541	3.3875	3.0475	0.24795	0.16475	0.7755	1.5195	0.8676	1.775	1.4365	0.30965	0.4749	1.4065	0.33815	0.442	0.1292	28.535	32.05	17.925	61.17	34.395
chr4	45488922	45493669	EpiSC_enhancer	13.981	14.6085	19.4225	19.075	21.855	21.135	16.93	18.705	25.24	6.5795	5.0975	6.7175	0.233345	0.36195	0.57355	0.137	0.30605	0.32855	1.395	0.559685	0.3245	0.36525	0.79435	0.3241	0.82705	19.736	40.745	23.865	45.895	40.12
chr4	45512921	45515596	EpiSC_enhancer	20.877	15.6335	27.533	16.895	19.91	16.18	13.06	18.42	30.075	5.786	4.5895	6.9885	0.22725	0.4751	0.56965	0.35115	0.52055	0.60155	1.305	0.67875	0.34335	0.5059	0.3634	0.3241	0.912	49.14	47.655	9.4875	17.02	29.77
chr4	45591533	45592493	EpiSC_enhancer	37.335	23.219	33.575	11.3645	11.63	9.583	21.085	27.205	29.41	10.3195	15.085	15.81	0.2852	0.3869	0.9482	0.32475	0.584	0.7125	0.47655	0.69285	1.4593	0.3118	0.9791	1.5285	0	25.165	19.47	50.285	24.87	18.155
chr4	45653636	45656097	EpiSC_enhancer	9.9025	13.622	20.697	6.2265	10.8575	8.4225	5.5185	17.758	20.955	2.4775	7.99	9.637	0.8557	0.4705	0.5323	3.6275	0.69645	0.53855	1.5327	1.4163	1.1636	2.1505	1.84	3.7305	25.1085	42.675	30.362	2.9865	10.975	21.45
chr4	45770319	45772248	EpiSC_enhancer	24.675	14.1645	14.2	12.92	14.825	14.515	18.88	19.42	22.675	7.079	5.4335	5.3555	0.41485	0.09155	0.47415	0.2525	0.386	0.51805	0.38435	0.5233	1.711	0.326	0.5136	1.28545	0	27.93	9.553	48.835	41.63	18.685
chr4	49623826	49627110	EpiSC_enhancer	1.0922	4.2096	3.657	0.77705	5.153	6.602	0.4817	3.2505	9.5165	0.368	1.1195	3.648	0.3894	0.65025	0.74655	0.4458	1.3335	1.719	1.10545	0.82005	0.3581	0.92675	0.5568	0.3978	28.255	72.65	72.685	0.25415	10.253	17.61
chr4	49623826	49627110	EpiSC_enhancer	1.0922	4.2096	3.657	0.77705	5.153	6.602	0.4817	3.2505	9.5165	0.368	1.1195	3.648	0.3894	0.65025	0.74655	0.4458	1.3335	1.719	1.10545	0.82005	0.3581	0.92675	0.5568	0.3978	28.255	72.65	72.685	0.25415	10.253	17.61
chr4	59990648	59993423	EpiSC_enhancer	1.2854	1.9776	8.921	0.72195	1.22635	9.9345	0.24145	0.51505	15.2575	0.66585	0.66605	3.426	0.83215	0.18305	0.5225	9.0565	11.289	3.9315	0.44835	0.1759	0.53095	0.5411	0.49945	0.40515	65.065	85.97	39.975	1.0965	6.656	32.22
chr4	59996873	59998655	EpiSC_enhancer	8.9475	5.91335	6.45545	5.177	5.407	8.4425	3.7595	3.1605	6.8775	1.197	0.67905	1.34095	1.04355	0.54835	0.94365	1.5865	7.26	2.567	0.82145	0.3346	0.7752	0.16775	0.3461	0.7587	9.909	68.055	85.665	4.6745	12.065	14.295
chr4	128714571	128716999	EpiSC_enhancer	6.9535	15.038	23.896	11.2915	17.1	15.765	9.1005	20.96	32.25	2.2735	6.0115	8.6665	0.4078	0.77405	0.7111	0.19175	0.57345	0.9128	2.5675	1.20585	1.2036	0.93	1.02645	0.4825	9.786	34.375	16.4495	2.8045	34.275	44.835
chr4	129965463	129967231	EpiSC_enhancer	11.6165	14.89	18.232	13.08	18.02	18.36	7.272	15.105	16.87	1.6079	2.6695	3.4775	0.3135	0.39105	0.6702	0.5738	0.62585	0.80135	2.358	2.151	1.282	2.306	2.3305	0.96645	0.84815	33.42	54.41	3.599	9.292	18.13
chr4	134734259	134735214	EpiSC_enhancer	26.311	18.0555	23.102	12.93	13.985	14.405	14.02	12.7125	14.4565	7.468	4.083	6.5235	0.363	0.62365	1.10655	0.35615	0.51005	1.34	2.1198	1.28705	1.72385	0.83985	1.3385	0.66005	0.5011	42.965	57.185	15.365	22.41	12.565
chr4	136749876	136751610	EpiSC_enhancer	17.036	14.429	21.357	16.605	21.02	17.94	15.875	21.935	23.715	5.9725	6.5125	6.1125	0.35265	0.4734	0.69225	0.30135	0.6286	0.7378	2.4305	1.6975	2.1035	4.743	3.1605	1.5825	0.10615	23.353	19.895	8.7185	17.42	21.68
chr4	136829106	136831002	EpiSC_enhancer	5.087	14.391	23.93	5.887	14.9	15.335	4.164	23.98	34.225	1.2793	8.6525	14.18	0.84625	0.6315	0.8639	0.82355	0.74255	0.5299	1.847	1.03565	1.922	5.9455	1.629	0.55245	9.539	53.285	27.715	1.0836	24	23.445
chr4	138360552	138363479	EpiSC_enhancer	3.0006	10.2445	8.383	2.563	12.53	8.4875	2.1075	17.43	22.185	0.876	6.416	7.247	0.57755	0.44305	1.053	0.55785	1.1551	1.858	0.92785	1.5099	2.112	7.2675	2.108	1.3994	20.32	49.74	35.26	0.60905	17.915	28.65
chr5	15773697	15775400	EpiSC_enhancer	3.891	5.458	9.669	2.8895	5.45	7.5585	2.2345	5.493	11.946	1.0498	1.715	2.5265	0.62	0.181	0.45885	5.549	5.302	1.064	0.22383	0.2367	0.5457	0.09335	0.34215	0.3094	13.44	34.76	35.52	4.177	23.59	17.49
chr5	15904669	15905278	EpiSC_enhancer	5.7485	6.588	6.09325	3.225	4.0295	4.8105	5.4185	4.984	6.2475	2.602	1.6019	1.35285	1.0352	0.61905	0.86925	4.2305	3.187	1.46405	0.73555	0.4433	0.71205	0.2793	0.55845	0.32045	28.1675	63.425	95.56	8.199	12.349	11.64
chr5	24483717	24486080	EpiSC_enhancer	15.243	9.0785	16.6965	16.16	19.95	17.345	20.445	24.44	31.81	11.711	12.527	15.0725	0.2461	0.52415	0.4801	0.43335	0.445	0.5692	1.9365	1.584	1.753	0.8338	3.246	1.04615	4.94285	65.025	33.54	10.0645	6.287	19.235
chr5	36886647	36887493	EpiSC_enhancer	5.9765	8.3055	9.0425	7.918	10.18	19.13	5.819	4.7745	8.069	1.866	1.21015	1.22745	0.67655	1.2874	1.269	0.40845	0.772	0.6651	2.0035	1.929	1.6935	1.2915	1.16805	0.5267	12.9645	77.57	88.06	5.346	9.1665	13.205
chr5	65724286	65725569	EpiSC_enhancer	28.7965	17.0465	18.0275	8.7685	8.505	5.439	16.19	17.84	22.815	11.609	10.3765	14.2915	0.40685	0.5754	0.9647	0.646	0.21395	0.49495	0.045145	0.10555	0.53565	0.112965	0.29885	0.4015	1.9758	17.462	32.995	47.335	30.05	20.135
chr5	90924906	90927391	EpiSC_enhancer	3.741	3.9555	7.4565	1.3655	3.246	7.7445	3.6735	3.406	9.5315	4.735	1.6975	3.441	0.454	0.2384	0.43885	12.0045	8.216	3.504	0.27275	0.175928	0.38935	0.2286	0.3028	0.65855	11.07	89.225	57.09	10.003	15.14	21.22
chr5	115403663	115405169	EpiSC_enhancer	34.56	14.5085	20.182	11.1025	13.7	11.145	21.85	24.275	27.19	15.253	10.064	13.33	0.28005	0.5325	0.68005	0.24355	0.30825	0.6602	0.4013	1.304	2.043	0.4092	2.457	1.6535	0.66315	35.5	21.93	58.105	23.315	25.025
chr5	128451221	128453080	EpiSC_enhancer	2.1162	11.7705	9.558	2.3385	13.455	9.1085	1.568	15.095	11.615	0.3154	3.8655	3.4745	0.7543	0.35985	0.8584	0.6027	0.45215	0.7216	1.4705	0.7998	1.3125	4.0915	0.85725	1.208	20.085	50.08	45.93	0.665	18.56	18.365
chr5	128482573	128483054	EpiSC_enhancer	9.8945	18.5905	11.2035	8.871	8.1475	4.8385	14.07	26.955	20.315	7.4635	15.0335	11.0415	0.3088	0.333665	0.88655	0.34868	0.95215	1.3736	1.7525	1.5547	1.5255	6.334	2.05955	7.1585	3.06525	31.31	42.03	3.3445	15.005	12.341
chr5	147760212	147762899	EpiSC_enhancer	12.9565	9.9435	16.914	11.585	12.36	10.2395	12.665	13.85	17.305	4.849	2.6555	4.798	0.5351	0.42435	0.83485	0.5006	0.6093	2.03045	0.83095	0.96615	0.98245	0.39905	1.1641	0.4788	3.370295	49.08	31.815	17.77	9.6045	26.945
chr6	3555822	3558617	EpiSC_enhancer	23.0205	19.5385	14.061	8.4285	8.839	9.5215	17.97	14.33	15.17	9.59	4.5195	4.213	0.3154	0.21095	0.5272	0.38905	0.8721	0.99865	0.2759	0.069735	0.2991	0.257	0.129755	0.31455	0.12255	61.265	89.35	51.74	59.025	35.945
chr6	3622977	3625473	EpiSC_enhancer	2.3205	4.9215	7.1635	2.01	5.1825	9.216	1.20725	3.153	6.156	0.16645	0.88805	1.4325	0.90265	0.58245	0.7661	0.8941	4.4665	2.0845	1.176	0.4574	0.73445	0.47685	0.4719	0.32415	29.455	64.795	76.715	0.8623	15.42	23.295
chr6	3677478	3679756	EpiSC_enhancer	4.43735	3.5828	9.119	1.592	2.6845	5.796	2.0825	2.5115	7.3745	1.2178	0.6792	1.81965	0.4903	0.4576	0.74645	9.997	6.336	3.713	0.20695	0.2815	0.69495	0.1488	0.3028	0.3352	31.91	75.28	69.77	10.1	10.264	21.14
chr6	5324121	5327204	EpiSC_enhancer	10.495	10.9695	17.677	3.7605	4.9905	5.24	2.666	3.4255	7.115	1.3947	1.09	3.0405	0.7198	0.42105	0.61565	5.1985	7.2605	5.313	1.10485	0.3231	0.54865	0.55255	0.58675	0.67565	21.95	76.595	64.48	4.864	24.295	21.755
chr6	5334154	5335454	EpiSC_enhancer	3.34565	8.493	7.729	4.022	3.8065	2.5415	3.9515	11.685	11.5435	2.0765	21.405	34.825	0.5681	0.1789	0.4738	3.696	2.3545	2.841	0.88395	0.131135	0.2779	0.51405	0.3028	0.3978	26.265	70.03	38.03	2.595	25.01	18.15
chr6	36857319	36859362	EpiSC_enhancer	9.581	14.6015	12.824	7.326	9.841	7.1125	7.9055	13.365	13.305	3.2855	3.3435	3.7785	0.51155	0.545	1.05265	0.45075	0.29225	0.5924	0.29785	0.26865	0.61355	0.3314	0.21235	0.162065	0.8112	41.01	34.905	16.13	26.05	19.92
chr6	54484839	54486232	EpiSC_enhancer	8.9485	18.1385	16.7175	5.1045	9.0015	8.4555	12.535	25.495	24.24	7.758	21.67	20.52	0.7166	0.2829	0.67965	0.4184	0.39425	0.657	1.135	0.97225	1.7045	7.332	1.797	1.985	6.837	27.225	75.855	1.4025	23.935	13.495
chr6	97647054	97650444	EpiSC_enhancer	10.0205	7.653	13.714	2.9935	4.42	8.391	7.345	5.3205	15.08	7.416	3.371	7.768	0.594	0.16015	0.56415	13.13	10.0045	5.7795	0.4897	0.27825	0.31565	0.6723	0.3854	1.1137	18.785	74.905	23.2	26.16	23.24	29.56
chr6	125354211	125355388	EpiSC_enhancer	15.602	11.7925	13.668	15.625	15.885	17.345	20.67	16.285	25.085	7.883	5.719	8.6	0.41255	0.91465	0.849	0.3168	1.5385	0.7475	1.0219	1.7115	1.158	0.79335	2.062	0.7446	0	25.125	30	33.855	12.095	14.62
chr6	127329649	127331068	EpiSC_enhancer	11.3175	13.996	23.224	5.0455	6.865	8.9175	11.249	19.015	20.99	8.369	12.1175	9.6925	0.36445	0.40435	0.7357	0.3218	0.386	0.52775	1.4026	1.4025	1.5625	7.073	5.46	0.95855	8.0445	43	35.035	1.376	4.6625	12.375
chr6	127335958	127338005	EpiSC_enhancer	26.214	13.008	16.0235	12.3635	12.11	13.12	12.994	19.065	23.67	4.398	4.4305	6.626	0.5525	0.6207	0.82745	4.6975	2.269	1.2061	1.2295	2.1345	2.0015	0.58505	2.9325	3.48	7.994	56.31	16.484	22.46	10.4565	20.38
chr6	148955486	148956083	EpiSC_enhancer	24.7775	16.082	10.86	8.698	9.418	9.186	18.24	12.8375	9.364	10.691	3.0125	1.794	0.36065	0.5475	1.1325	0.1913	0.69535	0.8056	0.16365	0.23735	0.41595	0.257	0.60245	0.2431	4.5435	48.585	96.21	52.575	34.55	16.26
chr7	17066987	17068096	EpiSC_enhancer	3.0682	2.73865	5.0545	1.07055	1.4485	7.454	0.63195	1.00955	6.7315	0.93735	0.7226	2.2455	0.6129	0.5038	0.61755	2.4735	4.0235	1.2253	0.775	0.4376	0.72915	0.328	0.338175	0.7993	27.98	37.54	52.775	0.87565	4.2605	13.215
chr7	25711235	25712622	EpiSC_enhancer	7	11.342	20.577	2.8985	12.427	18.29	2.0366	7.2125	14.01	0.76385	1.18945	2.675	0.247	0.8602	0.43925	0.1918	0.52935	0.61715	2.057	1.4935	0.2242	1.12395	0.641	0.4457	38.695	86.07	53.91	0.63885	5.368	17.185
chr7	28358326	28358793	EpiSC_enhancer	3.65845	11.85	14.9365	4.213	16.21	16.015	2.397	9.1405	11.113	0.76305	2.0825	2.074	0.33235	0.68185	0.7617	0.114555	0.41025	0.64405	2.046	0.97315	0.38645	2.406	0.8911	0.36095	15.869	56.745	68.17	1.4485	13.24	11.3
chr7	28374943	28376692	EpiSC_enhancer	17.6285	21.502	26.745	10.3935	9.287	5.16	27.685	27.74	34.845	21.555	18.925	30.775	0.1815	0.2309	0.28875	0.25505	0.4549	0.6694	0.6377	0.44335	0.168745	0.4836	0.51515	0.51785	0.40785	17.42	14.665	24.59	40.855	32.975
chr7	81480239	81481008	EpiSC_enhancer	26.192	16.377	15.876	10.434	10.3005	8.8095	12.775	11.203	9.6635	6.4115	3.7525	1.9095	0.3484	0.24755	0.55985	0.3292	0.6027	2.5155	0.3781	1.3255	0.98585	0.257	1.845	1.0757	1.129	34.47	45.35	35.15	9.5165	11.985
